Date,SYMBOL,CLOSE,ML_Prob,Signal,Reason
2025-03-17,786,9.28,0.45846220597493825,HOLD,
2025-03-18,786,8.8,0.5391868627669245,HOLD,
2025-03-19,786,8.85,0.5117012005035475,HOLD,
2025-03-20,786,8.85,0.5119673814199591,HOLD,
2025-03-24,786,9.5,0.4887912993914709,HOLD,
2025-03-26,786,8.73,0.5247864058246603,HOLD,
2025-04-03,786,8.73,0.5168859347525898,HOLD,
2025-04-04,786,8.7,0.5167998627842288,HOLD,
2025-04-07,786,8.0,0.6437531833953153,HOLD,
2025-04-08,786,8.82,0.485274836457772,HOLD,
2025-04-10,786,8.5,0.535920246651559,HOLD,
2025-04-11,786,8.45,0.5366095696706153,HOLD,
2025-04-14,786,8.45,0.5236026635137623,HOLD,
2025-04-15,786,8.45,0.5209137051402881,HOLD,
2025-04-16,786,8.03,0.6453407194977047,HOLD,
2025-04-17,786,8.03,0.6368893760774434,HOLD,
2025-04-18,786,8.02,0.6206875956816021,HOLD,
2025-04-21,786,8.43,0.5072463154052841,HOLD,
2025-04-22,786,8.22,0.5396837427536862,HOLD,
2025-04-23,786,8.22,0.5248625546419174,HOLD,
2025-04-24,786,8.53,0.49997998166207175,HOLD,
2025-04-25,786,8.58,0.5000030121673383,HOLD,
2025-04-28,786,8.53,0.4997096255931296,HOLD,
2025-04-29,786,8.5,0.5006235381284526,HOLD,
2025-04-30,786,8.43,0.47953163547317357,HOLD,
2025-05-02,786,8.43,0.4659485461841082,HOLD,
2025-05-05,786,8.47,0.46886076797630677,HOLD,
2025-05-06,786,8.5,0.46202290411361374,HOLD,
2025-05-07,786,8.5,0.4574586194847673,HOLD,
2025-05-09,786,7.94,0.5781667611598664,HOLD,
2025-05-12,786,7.94,0.572315087868307,HOLD,
2025-05-13,786,7.94,0.5301750562380511,HOLD,
2025-05-14,786,8.44,0.4892264766592148,HOLD,
2025-05-15,786,8.5,0.4762833326058017,HOLD,
2025-05-16,786,7.66,0.6434489529639508,HOLD,
2025-05-19,786,7.66,0.6397288497247495,HOLD,
2025-05-20,786,8.44,0.47694553522995387,HOLD,
2025-05-21,786,8.44,0.4588755362309098,HOLD,
2025-05-22,786,8.4,0.49891146721958823,HOLD,
2025-05-23,786,7.56,0.6497111153293215,HOLD,
2025-05-26,786,7.87,0.5300217195250903,HOLD,
2025-05-27,786,8.22,0.48955264310385893,HOLD,
2025-05-30,786,8.35,0.4993386140469973,HOLD,
2025-06-03,786,8.7,0.4975030380359848,HOLD,
2025-06-05,786,9.16,0.5005632019903367,HOLD,
2025-06-10,786,8.98,0.4978302363448946,HOLD,
2025-06-11,786,8.7,0.4999879345982455,HOLD,
2025-06-12,786,8.48,0.5046687451881112,HOLD,
2025-06-16,786,8.98,0.46362044975880623,HOLD,
2025-06-17,786,8.53,0.488176101432882,HOLD,
2025-06-18,786,8.57,0.4754442645803696,HOLD,
2025-06-19,786,8.81,0.46063478239666594,HOLD,
2025-06-20,786,8.81,0.45799107717296894,HOLD,
2025-06-24,786,8.4,0.5106748727656563,HOLD,
2025-06-25,786,8.36,0.4913763301819396,HOLD,
2025-06-26,786,8.99,0.49897701034182257,HOLD,
2025-06-30,786,10.99,0.544397000189186,HOLD,
2025-07-01,786,10.36,0.512522019849141,HOLD,
2025-07-02,786,10.08,0.5034685907473271,HOLD,
2025-07-03,786,10.21,0.5036003282906489,HOLD,
2025-07-04,786,10.0,0.5026755615745294,HOLD,
2025-07-07,786,10.04,0.49814259293602725,HOLD,
2025-07-08,786,9.87,0.4784608919824679,HOLD,
2025-07-10,786,10.1,0.5042170079212744,HOLD,
2025-07-11,786,10.15,0.48362333396687873,HOLD,
2025-07-14,786,10.0,0.5020935532859925,HOLD,
2025-07-15,786,10.0,0.4868502900232988,HOLD,
2025-07-16,786,10.0,0.4628166617129034,HOLD,
2025-07-17,786,10.35,0.5061810736688842,HOLD,
2025-07-18,786,9.53,0.4957816831167369,HOLD,
2025-07-21,786,9.83,0.491363691485606,HOLD,
2025-07-23,786,10.02,0.501444643795936,HOLD,
2025-07-24,786,10.01,0.47274951688796024,HOLD,
2025-07-25,786,9.8,0.4892382319266361,HOLD,
2025-07-29,786,9.65,0.4846539490668863,HOLD,
2025-07-30,786,9.21,0.5412062383541765,HOLD,
2025-08-01,786,9.33,0.5142435182070373,HOLD,
2025-08-06,786,9.3,0.5053677200303599,HOLD,
2025-08-07,786,9.86,0.49395227223701,HOLD,
2025-08-08,786,10.86,0.51582835980951,HOLD,
2025-08-11,786,11.95,0.5359871860773938,HOLD,
2025-08-12,786,11.8,0.5339857718527827,HOLD,
2025-08-13,786,11.18,0.5075012765713995,HOLD,
2025-08-15,786,11.03,0.4840979475787387,HOLD,
2025-08-18,786,10.56,0.4873783853405088,HOLD,
2025-08-19,786,10.59,0.4876575745935831,HOLD,
2025-08-20,786,10.6,0.4799396322365119,HOLD,
2025-08-22,786,11.3,0.5083400312352776,HOLD,
2025-08-27,786,11.62,0.4751562130803809,HOLD,
2025-08-29,786,11.05,0.4822705645606507,HOLD,
2025-09-02,786,11.48,0.48375890876815875,HOLD,
