Date,SYMBOL,CLOSE,ML_Prob,Signal,Reason
2025-03-17,786,9.28,0.4493300001502367,HOLD,
2025-03-18,786,8.8,0.47713176223430936,HOLD,
2025-03-19,786,8.85,0.5325637997574012,HOLD,
2025-03-20,786,8.85,0.5211364166652168,HOLD,
2025-03-24,786,9.5,0.5041365734952339,HOLD,
2025-03-26,786,8.73,0.514374205446857,HOLD,
2025-04-03,786,8.73,0.5100481384294671,HOLD,
2025-04-04,786,8.7,0.5260675474675139,HOLD,
2025-04-07,786,8.0,0.6720966450682695,HOLD,
2025-04-08,786,8.82,0.4939575989364766,HOLD,
2025-04-10,786,8.5,0.5573356030746531,HOLD,
2025-04-11,786,8.45,0.5547848033894853,HOLD,
2025-04-14,786,8.45,0.49589938112129334,HOLD,
2025-04-15,786,8.45,0.4761311509180253,HOLD,
2025-04-16,786,8.03,0.6368364754611369,HOLD,
2025-04-17,786,8.03,0.6082972057305561,HOLD,
2025-04-18,786,8.02,0.6364206974080243,HOLD,
2025-04-21,786,8.43,0.5547853521377107,HOLD,
2025-04-22,786,8.22,0.5687952744782754,HOLD,
2025-04-23,786,8.22,0.5103882865526305,HOLD,
2025-04-24,786,8.53,0.5819405466954514,HOLD,
2025-04-25,786,8.58,0.5711733515448721,HOLD,
2025-04-28,786,8.53,0.5485476826583064,HOLD,
2025-04-29,786,8.5,0.5312753824497398,HOLD,
2025-04-30,786,8.43,0.5560898615381817,HOLD,
2025-05-02,786,8.43,0.5214530527183263,HOLD,
2025-05-05,786,8.47,0.5311926599660872,HOLD,
2025-05-06,786,8.5,0.5407113728093786,HOLD,
2025-05-07,786,8.5,0.5187977126442606,HOLD,
2025-05-09,786,7.94,0.6280107837562026,HOLD,
2025-05-12,786,7.94,0.569748921965914,HOLD,
2025-05-13,786,7.94,0.526464793386496,HOLD,
2025-05-14,786,8.44,0.5288874435811824,HOLD,
2025-05-15,786,8.5,0.563844228337722,HOLD,
2025-05-16,786,7.66,0.6645935264853112,HOLD,
2025-05-19,786,7.66,0.6550281683143095,HOLD,
2025-05-20,786,8.44,0.48346301519134055,HOLD,
2025-05-21,786,8.44,0.5139149013567874,HOLD,
2025-05-22,786,8.4,0.6016044364617995,HOLD,
2025-05-23,786,7.56,0.7161222179127844,HOLD,
2025-05-26,786,7.87,0.582346959447246,HOLD,
2025-05-27,786,8.22,0.5688611408876031,HOLD,
2025-05-30,786,8.35,0.5744608921722585,HOLD,
2025-06-03,786,8.7,0.5409219710724306,HOLD,
2025-06-05,786,9.16,0.4951266406934914,HOLD,
2025-06-10,786,8.98,0.5158365905305717,HOLD,
2025-06-11,786,8.7,0.5423863028623387,HOLD,
2025-06-12,786,8.48,0.5115822879928165,HOLD,
2025-06-16,786,8.98,0.4640409068632769,HOLD,
2025-06-17,786,8.53,0.5424701543588196,HOLD,
2025-06-18,786,8.57,0.5397299018716784,HOLD,
2025-06-19,786,8.81,0.48936681450228725,HOLD,
2025-06-20,786,8.81,0.47530669571369816,HOLD,
2025-06-24,786,8.4,0.6386659083918953,HOLD,
2025-06-25,786,8.36,0.49580600761073884,HOLD,
2025-06-26,786,8.99,0.5705635962499228,HOLD,
2025-06-30,786,10.99,0.5399067302330424,HOLD,
2025-07-01,786,10.36,0.492729492916722,HOLD,
2025-07-02,786,10.08,0.4761483313347502,HOLD,
2025-07-03,786,10.21,0.48212921130810515,HOLD,
2025-07-04,786,10.0,0.501519396826448,HOLD,
2025-07-07,786,10.04,0.5067514833756609,HOLD,
2025-07-08,786,9.87,0.5007334782119643,HOLD,
2025-07-10,786,10.1,0.5230879000510635,HOLD,
2025-07-11,786,10.15,0.5123088569799601,HOLD,
2025-07-14,786,10.0,0.5726290651688701,HOLD,
2025-07-15,786,10.0,0.5476917838419793,HOLD,
2025-07-16,786,10.0,0.4360794676840156,HOLD,
2025-07-17,786,10.35,0.5310458927005971,HOLD,
2025-07-18,786,9.53,0.49534151241307944,HOLD,
2025-07-21,786,9.83,0.45435297326021795,HOLD,
2025-07-23,786,10.02,0.4765319071611699,HOLD,
2025-07-24,786,10.01,0.4077661128865063,HOLD,
2025-07-25,786,9.8,0.4294665583680635,HOLD,
2025-07-29,786,9.65,0.4283539490531231,HOLD,
2025-07-30,786,9.21,0.4854706810182886,HOLD,
2025-08-01,786,9.33,0.45328648705067354,HOLD,
2025-08-06,786,9.3,0.437459155058559,HOLD,
2025-08-07,786,9.86,0.4613153418020829,HOLD,
2025-08-08,786,10.86,0.44496134741124016,HOLD,
2025-08-11,786,11.95,0.44305678458561953,HOLD,
2025-08-12,786,11.8,0.4265077939499453,HOLD,
2025-08-13,786,11.18,0.42940102502196015,HOLD,
2025-08-15,786,11.03,0.4162308166227052,HOLD,
2025-08-18,786,10.56,0.4881508926909845,HOLD,
2025-08-19,786,10.59,0.4974364793839083,HOLD,
2025-08-20,786,10.6,0.49043804082795106,HOLD,
2025-08-22,786,11.3,0.4641209855066362,HOLD,
2025-08-27,786,11.62,0.37724919380017485,HOLD,
2025-08-29,786,11.05,0.46302907477835487,HOLD,
2025-09-02,786,11.48,0.4259210305522329,HOLD,
2025-09-04,786,12.84,0.456522335833794,HOLD,
2025-09-05,786,14.12,0.5870811044452743,HOLD,
2025-09-08,786,15.53,0.6179533159087075,HOLD,
2025-09-09,786,15.76,0.5570136790113722,HOLD,
2025-09-10,786,15.05,0.5384467999770859,HOLD,
2025-09-11,786,14.11,0.5387315794386508,HOLD,
2025-09-12,786,14.26,0.5097411155261468,HOLD,
2025-09-15,786,13.98,0.507447779237738,HOLD,
2025-09-16,786,12.84,0.5883764600992588,HOLD,
2025-09-17,786,13.02,0.536812173639351,HOLD,
2025-09-18,786,14.1,0.5465281317536029,HOLD,
2025-09-19,786,14.76,0.5419544790578702,HOLD,
2025-09-22,786,15.73,0.5830604275144604,HOLD,
2025-09-23,786,14.98,0.5814470228148824,HOLD,
2025-09-24,786,14.36,0.5325413603675232,HOLD,
2025-09-25,786,14.32,0.5121143135926642,HOLD,
2025-09-26,786,14.25,0.4575424865817761,HOLD,
2025-09-29,786,14.8,0.5518603383977909,HOLD,
2025-09-30,786,14.86,0.5160989364682163,HOLD,
2025-10-01,786,14.23,0.4521173737167699,HOLD,
2025-10-02,786,13.9,0.4635059548236072,HOLD,
2025-10-03,786,14.0,0.4420492386877404,HOLD,
2025-10-06,786,13.16,0.532083693557987,HOLD,
2025-10-07,786,13.11,0.5410878567757595,HOLD,
2025-10-08,786,12.88,0.5499377152926467,HOLD,
2025-10-09,786,12.89,0.5278522843670835,HOLD,
2025-10-10,786,12.5,0.5603651312892798,HOLD,
2025-10-13,786,12.34,0.6181599894449941,HOLD,
2025-10-14,786,12.82,0.49388326773260327,HOLD,
2025-10-15,786,12.49,0.5079722995293862,HOLD,
2025-10-16,786,12.69,0.47453866233633163,HOLD,
2025-10-17,786,13.0,0.46346150379897955,HOLD,
2025-10-20,786,12.97,0.39635616145994373,HOLD,
2025-10-21,786,13.1,0.4509686439403208,HOLD,
2025-10-22,786,13.2,0.3622286258411447,HOLD,
2025-10-23,786,13.34,0.4390503940425511,HOLD,
2025-10-24,786,13.22,0.40057869761735926,HOLD,
2025-10-28,786,12.98,0.38164048386756383,HOLD,
2025-10-29,786,12.99,0.4184652876353101,HOLD,
2025-10-31,786,12.9,0.427114447138183,HOLD,
2025-11-03,786,12.84,0.4617240749911471,HOLD,
2025-11-04,786,12.66,0.4993840107178214,HOLD,
2025-11-05,786,12.5,0.48588345626974816,HOLD,
2025-11-06,786,12.66,0.4827359671638602,HOLD,
2025-11-07,786,13.03,0.4442925301436851,HOLD,
2025-11-10,786,12.83,0.4553960208137571,HOLD,
2025-11-11,786,13.5,0.4819177868229681,HOLD,
2025-11-12,786,13.12,0.5186996818928068,HOLD,
2025-11-13,786,13.15,0.5065758989420182,HOLD,
2025-11-14,786,13.35,0.4971136217962667,HOLD,
2025-11-17,786,13.13,0.48987893279537004,HOLD,
2025-11-18,786,13.08,0.5372454700872917,HOLD,
2025-11-19,786,12.95,0.5401682824267666,HOLD,
2025-11-21,786,12.95,0.5156668139757643,HOLD,
2025-11-24,786,12.57,0.45602580355530553,HOLD,
2025-11-25,786,12.29,0.5080289719659506,HOLD,
2025-11-26,786,11.98,0.5774906189344786,HOLD,
2025-11-27,786,12.01,0.5292744876987062,HOLD,
2025-11-28,786,11.82,0.579482936849069,HOLD,
2025-12-01,786,12.04,0.52368709516986,HOLD,
2025-12-03,786,12.23,0.46118092093167845,HOLD,
2025-12-04,786,12.69,0.4209041267298732,HOLD,
2025-12-05,786,13.26,0.5341641984336882,HOLD,
2025-12-08,786,12.87,0.5172654538604711,HOLD,
2025-12-09,786,12.66,0.5291673949387328,HOLD,
2025-12-10,786,12.63,0.5215753547001194,HOLD,
2025-12-11,786,13.04,0.4897081557428614,HOLD,
2025-12-17,786,12.49,0.6138441811831314,HOLD,
2025-12-19,786,12.5,0.5776322638760952,HOLD,
2025-12-22,786,12.31,0.6353268009517412,HOLD,
2025-12-23,786,12.3,0.46543748153947684,HOLD,
2025-12-24,786,13.16,0.5554434611392901,HOLD,
2025-12-26,786,13.12,0.48091736321478057,HOLD,
2025-12-29,786,13.07,0.5074398842339811,HOLD,
