Max_Positions,Final_Capital,Net_Profit,Portfolio_ROI_Pct,Total_Trades,Win_Rate_Pct
2,239321.92195868224,139321.92195868224,139.32192195868225,39,46.15384615384615
3,244062.60445459338,144062.60445459338,144.06260445459338,62,48.38709677419355
4,194382.38582328556,94382.38582328556,94.38238582328555,80,45.0
5,137972.83503534773,37972.83503534773,37.97283503534773,98,41.83673469387755
6,128596.35466154033,28596.354661540332,28.596354661540328,116,41.37931034482759
7,125909.22255347527,25909.222553475265,25.909222553475264,128,39.84375
8,113230.27237035913,13230.272370359133,13.230272370359133,147,36.734693877551024
9,120144.34575775254,20144.34575775254,20.14434575775254,157,38.21656050955414
10,130024.65709433587,30024.657094335867,30.024657094335865,170,40.588235294117645
