Date,Total_Equity
2025-10-09,167478.91909385394
2025-10-10,166516.71373624352
2025-10-13,160959.1266679949
2025-10-14,166798.62388723897
2025-10-15,169094.2255489344
2025-10-16,168383.40050411332
2025-10-17,165557.43048865645
2025-10-20,167127.47351250792
2025-10-21,167695.413171136
2025-10-22,164710.97956463342
2025-10-23,162877.3071249032
2025-10-24,159765.76056210854
2025-10-28,160771.7298013382
2025-10-29,165319.30403075018
2025-10-31,177068.7229348566
2025-11-03,179652.9580214846
2025-11-04,179917.76027378894
2025-11-05,180707.2023024149
2025-11-06,185362.88931261963
2025-11-07,183652.34797912912
2025-11-10,186303.96478472772
2025-11-11,185155.6142895479
2025-11-12,184005.19977151777
2025-11-13,188023.39255399036
2025-11-14,185011.1498998964
2025-11-17,189095.53272723925
2025-11-18,185265.0529015088
2025-11-19,185866.15569007763
2025-11-21,180139.95808611414
2025-11-24,180347.14651676215
2025-11-25,180330.61449042562
2025-11-26,177487.70506339215
2025-11-27,178363.7039378683
2025-11-28,179212.8349736499
2025-12-01,178366.2629874278
2025-12-03,173469.56543102785
2025-12-04,175130.30629765324
2025-12-05,174063.95430930576
2025-12-08,172357.27200541593
2025-12-09,174147.87629828497
2025-12-10,178052.0631972084
2025-12-11,177986.25353651724
2025-12-17,178169.6897921001
2025-12-19,174764.17616148552
2025-12-22,174881.84902025526
2025-12-23,178915.818102558
2025-12-24,179995.49981844897
2025-12-26,177995.36748960242
2025-12-29,179362.91512866417
2025-12-30,179068.20625456967
2025-12-31,178988.82042250052
2026-01-01,179880.0169540621
2026-01-02,180182.12816870474
2026-01-05,181996.41083612185
2026-01-06,181784.44366536758
2026-01-07,181961.16107928997
2026-01-08,181016.81715412962
2026-01-09,182521.74512562656
2026-01-12,180840.71122533476
2026-01-13,182133.53068527067
2026-01-14,182803.6296156267
2026-01-15,180501.89961014205
2026-01-16,182504.951040132
2026-01-19,181775.52502947152
2026-01-20,184061.8273140251
2026-01-21,183258.53304882892
2026-01-22,186496.5145240574
2026-01-23,182560.49536491462
2026-01-27,178923.19986778474
2026-01-28,179120.01013655931
2026-01-29,174689.0184071832
2026-01-30,177196.10951885223
2026-02-02,178434.00435680622
2026-02-03,180893.28595425258
2026-02-04,179682.86871096515
2026-02-06,175648.5097922019
2026-02-09,176722.87941778515
2026-02-10,175389.30172649614
2026-02-11,174241.418807967
2026-02-12,172191.02096465603
2026-02-13,172790.34787090204
2026-02-16,168458.8353064216
2026-02-17,166404.99656643913
2026-02-18,166294.74946868932
2026-02-19,164904.41710257786
2026-02-23,162451.8475488681
2026-02-24,162451.8475488681
2026-02-26,163411.75630290742
2026-03-02,165226.91086272633
2026-03-04,162978.15266011708
2026-03-05,162978.15266011708
2026-03-06,161022.41482819567
2026-03-09,161022.41482819567
2026-03-10,161022.41482819567
2026-03-11,161022.41482819567
2026-03-12,161022.41482819567
2026-03-13,165915.90194157432
