Max_Positions,Final_Capital,Net_Profit,Portfolio_ROI_Pct,Total_Trades,Win_Rate_Pct
2,114829.03909297632,14829.039092976323,14.829039092976323,51,43.13725490196079
3,116211.91764690891,16211.917646908914,16.211917646908912,76,43.42105263157895
4,122392.88625716095,22392.88625716095,22.39288625716095,100,45.0
5,131429.70615260588,31429.706152605882,31.42970615260588,116,46.55172413793103
6,144327.10062682693,44327.10062682693,44.327100626826926,138,46.3768115942029
7,162215.42327085978,62215.423270859785,62.21542327085978,158,48.10126582278481
8,165915.90194157432,65915.90194157432,65.91590194157433,176,48.29545454545455
9,182623.9523687933,82623.95236879331,82.62395236879331,193,49.740932642487046
10,180255.6304513709,80255.6304513709,80.2556304513709,202,49.504950495049506
